cell_label,x,y,celltype_F,celltype_F_class,area
2323,15475,1975,Oligo,Non-neuronal,A1C
2324,18537,1973,Oligo,Non-neuronal,A1C
2325,26167,1974,VIP,Inhibitory,A1C
2326,19007,1977,SST,Inhibitory,A1C
2327,19257,1977,LAMP5 LHX6,Inhibitory,A1C
2328,20539,1975,Oligo,Non-neuronal,A1C
2330,21799,1978,Micro/PVM,Non-neuronal,A1C
2331,11362,1983,Oligo,Non-neuronal,A1C
2332,13142,1981,Oligo,Non-neuronal,A1C
2333,16857,1981,Micro/PVM,Non-neuronal,A1C
2334,19671,1981,Oligo,Non-neuronal,A1C
2335,25140,1981,L6 IT Car3,Excitatory,A1C
2338,20832,1984,LAMP5 LHX6,Inhibitory,A1C
2339,18159,1988,Micro/PVM,Non-neuronal,A1C
2340,21862,1986,SST,Inhibitory,A1C
2341,15671,1987,Oligo,Non-neuronal,A1C
2345,21228,1991,Micro/PVM,Non-neuronal,A1C
2347,25096,1990,Astro,Non-neuronal,A1C
2349,26460,1993,Oligo,Non-neuronal,A1C
2350,21508,1993,Oligo,Non-neuronal,A1C
2351,12150,1995,Oligo,Non-neuronal,A1C
2355,21198,1996,L5 IT,Excitatory,A1C
2356,24040,1995,L4 IT,Excitatory,A1C
2357,12593,1998,Oligo,Non-neuronal,A1C
2358,22555,1997,Micro/PVM,Non-neuronal,A1C
2360,15637,1998,Astro,Non-neuronal,A1C
2361,16007,1999,Oligo,Non-neuronal,A1C
2362,26189,1998,L4 IT,Excitatory,A1C
2365,15087,2001,Oligo,Non-neuronal,A1C
2367,25572,2001,L4 IT,Excitatory,A1C
2368,21375,2004,Astro,Non-neuronal,A1C
2369,23726,2004,Oligo,Non-neuronal,A1C
2370,18233,2006,L6 IT Car3,Excitatory,A1C
